Home,Visitor
DET,GB
PIT,CLE
PHI,CAR
KC,LAC
NYG,NO
MIN,ATL
TB,LV
TEN,JAX
MIA,NYJ
ARI,SEA
LA,BUF
SF,CHI
DAL,CIN
