Week,Date,Visitor,VisitorScore,Home,HomeScore,OT
Week 9,11/3/2024,DEN,10,BAL,41,
Week 9,11/3/2024,NO,22,CAR,23,
Week 9,11/3/2024,LAC,27,CLE,10,
Week 9,11/3/2024,CHI,9,ARI,29,
Week 9,11/3/2024,JAX,23,PHI,28,
Week 9,11/3/2024,LA,26,SEA,20,OT
Week 9,11/3/2024,DET,24,GB,14,
Week 9,11/3/2024,IND,13,MIN,21,
Week 9,11/4/2024,TB,24,KC,30,OT
Week 10,11/7/2024,CIN,34,BAL,35,
Week 10,11/10/2024,NYG,17,CAR,20,OT
Week 10,11/10/2024,NE,19,CHI,3,
Week 10,11/10/2024,DEN,14,KC,16,
Week 10,11/10/2024,ATL,17,NO,20,
Week 10,11/10/2024,BUF,30,IND,20,
Week 10,11/10/2024,SF,23,TB,20,
Week 10,11/10/2024,PIT,28,WAS,27,
Week 10,11/10/2024,MIN,12,JAX,7,
Week 10,11/10/2024,TEN,17,LAC,27,
Week 10,11/10/2024,NYJ,6,ARI,31,
Week 10,11/10/2024,PHI,34,DAL,6,
Week 10,11/10/2024,DET,26,HOU,23,
Week 10,11/11/2024,MIA,23,LA,15,
Week 11,11/14/2024,WAS,18,PHI,26,
Week 11,11/17/2024,GB,20,CHI,19,
Week 11,11/17/2024,MIN,23,TEN,13,
Week 11,11/17/2024,CLE,14,NO,35,
Week 11,11/17/2024,LV,19,MIA,34,
Week 11,11/17/2024,LA,28,NE,22,
Week 11,11/17/2024,BAL,16,PIT,18,
Week 11,11/17/2024,JAX,6,DET,52,
Week 11,11/17/2024,IND,28,NYJ,27,
Week 11,11/17/2024,SEA,20,SF,17,
Week 11,11/17/2024,ATL,6,DEN,38,
Week 11,11/17/2024,KC,21,BUF,30,
Week 11,11/17/2024,CIN,27,LAC,34,
Week 11,11/18/2024,HOU,34,DAL,10,
Week 12,11/21/2024,PIT,19,CLE,24,
Week 12,11/24/2024,TEN,32,HOU,27,
Week 12,11/24/2024,MIN,30,CHI,27,OT
Week 12,11/24/2024,DET,24,IND,6,
Week 12,11/24/2024,NE,15,MIA,34,
Week 12,11/24/2024,TB,30,NYG,7,
Week 12,11/24/2024,DAL,34,WAS,26,
Week 12,11/24/2024,KC,30,CAR,27,
Week 12,11/24/2024,DEN,29,LV,19,
Week 12,11/24/2024,ARI,6,SEA,16,
Week 12,11/24/2024,SF,10,GB,38,
Week 12,11/24/2024,PHI,37,LA,20,
Week 12,11/25/2024,BAL,30,LAC,23,
Week 13,11/28/2024,CHI,20,DET,23,
Week 13,11/28/2024,NYG,20,DAL,27,
Week 13,11/28/2024,MIA,17,GB,30,
Week 13,11/29/2024,LV,17,KC,19,
Week 13,12/1/2024,ARI,22,MIN,23,
Week 13,12/1/2024,IND,25,NE,24,
Week 13,12/1/2024,LAC,17,ATL,13,
Week 13,12/1/2024,PIT,44,CIN,38,
Week 13,12/1/2024,SEA,26,NYJ,21,
Week 13,12/1/2024,TEN,19,WAS,42,
Week 13,12/1/2024,HOU,23,JAX,20,
Week 13,12/1/2024,LA,21,NO,14,
Week 13,12/1/2024,TB,26,CAR,23,OT
Week 13,12/1/2024,PHI,24,BAL,19,
Week 13,12/1/2024,SF,10,BUF,35,
Week 13,12/2/2024,CLE,32,DEN,41,
Week 14,12/5/2024,GB,31,DET,34,
Week 14,12/8/2024,JAX,10,TEN,6,
Week 14,12/8/2024,ATL,21,MIN,42,
Week 14,12/8/2024,NO,14,NYG,11,
Week 14,12/8/2024,CAR,16,PHI,22,
Week 14,12/8/2024,CLE,14,PIT,27,
Week 14,12/8/2024,NYJ,26,MIA,32,OT
Week 14,12/8/2024,LV,13,TB,28,
Week 14,12/8/2024,SEA,30,ARI,18,
Week 14,12/8/2024,CHI,13,SF,38,
Week 14,12/8/2024,BUF,42,LA,44,
Week 14,12/8/2024,LAC,17,KC,19,
Week 14,12/9/2024,CIN,27,DAL,20,
Week 15,12/12/2024,LA,12,SF,6,
Week 15,12/15/2024,MIA,12,HOU,20,
Week 15,12/15/2024,CIN,37,TEN,27,
Week 15,12/15/2024,WAS,20,NO,19,
Week 15,12/15/2024,BAL,35,NYG,14,
Week 15,12/15/2024,DAL,30,CAR,14,
Week 15,12/15/2024,NYJ,32,JAX,25,
Week 15,12/15/2024,KC,21,CLE,7,
Week 15,12/15/2024,TB,40,LAC,17,
Week 15,12/15/2024,NE,17,ARI,30,
Week 15,12/15/2024,IND,13,DEN,31,
Week 15,12/15/2024,BUF,48,DET,42,
Week 15,12/15/2024,PIT,13,PHI,27,
Week 15,12/15/2024,GB,30,SEA,13,
Week 15,12/16/2024,CHI,12,MIN,30,
Week 15,12/16/2024,ATL,15,LV,9,
Week 16,12/19/2024,DEN,27,LAC,34,
Week 16,12/21/2024,HOU,19,KC,27,
Week 16,12/21/2024,PIT,17,BAL,34,
Week 16,12/22/2024,CLE,6,CIN,24,
Week 16,12/22/2024,DET,34,CHI,17,
Week 16,12/22/2024,TEN,30,IND,38,
Week 16,12/22/2024,NYG,7,ATL,34,
Week 16,12/22/2024,LA,19,NYJ,9,
Week 16,12/22/2024,PHI,33,WAS,36,
Week 16,12/22/2024,ARI,30,CAR,36,OT
Week 16,12/22/2024,MIN,27,SEA,24,
Week 16,12/22/2024,NE,21,BUF,24,
Week 16,12/22/2024,JAX,14,LV,19,
Week 16,12/22/2024,SF,17,MIA,29,
Week 16,12/22/2024,TB,24,DAL,26,
Week 16,12/23/2024,NO,0,GB,34,
Week 17,12/25/2024,KC,29,PIT,10,
Week 17,12/25/2024,BAL,31,HOU,2,
Week 17,12/26/2024,SEA,6,CHI,3,
Week 17,12/28/2024,LAC,40,NE,7,
Week 17,12/28/2024,DEN,24,CIN,30,OT
Week 17,12/28/2024,ARI,9,LA,13,
Week 17,12/29/2024,IND,33,NYG,45,
Week 17,12/29/2024,LV,25,NO,10,
Week 17,12/29/2024,TEN,13,JAX,20,
Week 17,12/29/2024,NYJ,14,BUF,40,
Week 17,12/29/2024,CAR,14,TB,48,
Week 17,12/29/2024,DAL,7,PHI,41,
Week 17,12/29/2024,MIA,20,CLE,3,
Week 17,12/29/2024,GB,25,MIN,27,
Week 17,12/29/2024,ATL,24,WAS,30,OT
Week 17,12/30/2024,DET,40,SF,34,
